%mod	ch	damm	type		subtype		loc	trace
0       0       616     mtas        C1F		1	0
0       1       617     mtas        C1B		2	0
0       2       618     mtas        C2F		3	0
0       3       619     mtas        C2B		4	0
0       4       620     mtas        C3F		5	0
0       5       621     mtas        C3B		6	0
0       6       622     mtas        C4F		7	0
0       7       623     mtas        C4B		8	0
0       8       624     mtas        C5F		9	0
0       9       625     mtas        C5B		10  0
0      10       626     mtas        C6F		11	0
0      11       627     mtas        C6B		12	0
0      12       628     mtas        I1F		13	0
0      13       629     mtas        I1B		14	0
0      14       630     mtas        I2F		15	0
0      15       631     mtas        I2B		16	0
1       0       632     mtas        I3F		17	0
1       1       633     mtas        I3B		18	0
1       2       634     mtas        I4F		19	0
1       3       635     mtas        I4B		20	0
1       4       636     mtas        I5F		21	0
1       5       637     mtas        I5B		22	0
1       6       638     mtas        I6F		23	0
1       7       639     mtas        I6B		24	0
1       8       640     mtas        M1F		25	0
1       9       641     mtas        M1B		26	0
1      10       642     mtas        M2F		27	0
1      11       643     mtas        M2B		28	0
1      12       644     mtas        M3F		29	0
1      13       645     mtas        M3B		30	0
1      14       646     mtas        M4F		31	0
1      15       647     mtas        M4B		32	0
2       0       648     mtas        M5F		33	0
2       1       649     mtas        M5B		34	0
2       2       650     mtas        M6F		35	0
2       3       651     mtas        M6B		36	0
2       4       651     mtas        O1F		37	0
2       5       653     mtas        O1B		38	0
2       6       654     mtas        O2F		39	0
2       7       655     mtas        O2B		40	0
2       8       656     mtas        O3F		41	0
2       9       657     mtas        O3B		42  0
2      10       658     mtas        O4F		43	0
2      11       659     mtas        O4B		44	0
2      12       660     mtas        O5F		45	0
2      13       661     mtas        O5B		46	0
2      14       662     mtas        O6F		47	0
2      15       663     mtas        O6B     48  0
3       0       664     sili        S1T		49	0
3       1       665     sili        S2T		50	0
3       2       666     sili        S3T		51	0
3       3       667     sili        S4T		52	0
3       4       668     sili        S5T		53	0
3       5       669     sili        S6T		54	0
3       6       670     sili        S7T		55	0
3       7       671     sili        S1B		56	0
3       8       672     sili        S2B		57	0
3       9       673     sili        S3B		58  0
3      10       674     sili        S4B		59	0
3      11       675     sili        S5B		60	0
3      12       676     sili        S6B		61	0
3      13       677     sili        S7B		62	0
3      14       678     sili        SK1		78	1
3      15       679     sili	    SK2     79 	1
4       0       500     therm       T1H     63   0
4       1       501     logi        IRU     64   0
4       2       502     logi        IRD     65  0
4       3       503     logi        LPU     66  0
4       4       504     logi        LPD     67  0
4       5       505     logi        TMU     68  0
4       6       506     logi        TMD     69  0
4       7       507     logi        BGU     70  0
4       8       508     logi        BGD     71  0
4       9       509     logi        MSU     72  0
4      10       510     logi        MSD     73  0
4      11       511     logi        stop    74  0
4      12       512     mtas        P1F     75  0
4      14       514     sili	    S1H     76  0
4      15       515     refmod      ref  77   1
